ID,Name,Rank,Platform,PickRate,WinRate,TieRate,OnFire
1,Ana,All,PC,12.83%,50.34%,1.91%,9.12%
2,Ashe,All,PC,5.25%,51.77%,1.75%,9.03%
3,Baptiste,All,PC,1.31%,45.82%,2.14%,9.70%
4,Bastion,All,PC,0.27%,54.65%,1.88%,15.66%
5,Brigitte,All,PC,0.69%,49.97%,1.47%,6.74%
6,D.Va,All,PC,2.55%,50.80%,1.67%,6.88%
7,Doomfist,All,PC,1.56%,53.40%,1.37%,7.73%
8,Echo,All,PC,0.81%,50.95%,1.56%,8.03%
9,Genji,All,PC,3.89%,50.46%,1.65%,11.65%
10,Hanzo,All,PC,2.21%,48.88%,1.67%,11.54%
11,Junkrat,All,PC,1.91%,51.91%,2.16%,10.98%
12,Lucio,All,PC,3.74%,53.75%,1.51%,11.95%
13,McCree,All,PC,1.85%,43.82%,1.30%,7.25%
14,Mei,All,PC,0.46%,48.34%,1.80%,7.53%
15,Mercy,All,PC,8.78%,51.37%,2.03%,2.26%
16,Moira,All,PC,4.80%,47.97%,1.98%,5.95%
17,Orisa,All,PC,0.33%,48.35%,1.67%,5.38%
18,Pharah,All,PC,1.48%,53.19%,1.45%,13.62%
19,Reaper,All,PC,1.97%,52.24%,1.54%,14.94%
20,Reinhardt,All,PC,8.18%,52.88%,2.22%,7.42%
21,Roadhog,All,PC,4.33%,46.26%,1.46%,7.55%
22,Sigma,All,PC,1.83%,51.11%,1.75%,12.60%
23,Soldier: 76,All,PC,2.34%,50.87%,1.52%,10.77%
24,Sombra,All,PC,1.10%,49.38%,1.70%,12.83%
25,Symmetra,All,PC,0.48%,57.66%,2.10%,8.21%
26,Torbjorn,All,PC,1.15%,57.21%,2.06%,7.82%
27,Tracer,All,PC,2.35%,50.04%,1.17%,7.29%
28,Widowmaker,All,PC,2.24%,49.66%,1.38%,6.95%
29,Winston,All,PC,3.64%,51.36%,1.54%,6.37%
30,Wrecking Ball,All,PC,2.63%,51.67%,1.45%,2.92%
31,Zarya,All,PC,10.31%,52.41%,2.00%,12.21%
32,Zenyatta,All,PC,2.73%,54.42%,1.60%,8.20%
1,Ana,Bronze,PC,8.13%,47.94%,1.76%,6.61%
2,Ashe,Bronze,PC,4.12%,49.74%,1.57%,7.07%
3,Baptiste,Bronze,PC,1.77%,45.14%,2.47%,9.31%
4,Bastion,Bronze,PC,0.94%,51.75%,1.72%,16.82%
5,Brigitte,Bronze,PC,0.91%,48.59%,1.52%,8.58%
6,D.Va,Bronze,PC,3.63%,44.79%,1.33%,6.72%
7,Doomfist,Bronze,PC,1.18%,47.25%,0.78%,8.13%
8,Echo,Bronze,PC,0.92%,42.93%,1.25%,6.54%
9,Genji,Bronze,PC,2.17%,46.93%,1.70%,10.84%
10,Hanzo,Bronze,PC,1.76%,46.07%,1.70%,10.12%
11,Junkrat,Bronze,PC,4.92%,49.17%,1.54%,11.64%
12,Lucio,Bronze,PC,4.53%,51.88%,1.32%,11.65%
13,McCree,Bronze,PC,1.57%,41.52%,1.47%,6.49%
14,Mei,Bronze,PC,0.81%,46.96%,1.43%,8.21%
15,Mercy,Bronze,PC,9.84%,48.46%,2.04%,1.68%
16,Moira,Bronze,PC,7.72%,45.62%,1.82%,5.37%
17,Orisa,Bronze,PC,1.47%,46.17%,2.19%,4.42%
18,Pharah,Bronze,PC,1.97%,47.99%,1.40%,10.41%
19,Reaper,Bronze,PC,3.16%,48.96%,1.75%,17.08%
20,Reinhardt,Bronze,PC,7.28%,48.05%,2.41%,7.27%
21,Roadhog,Bronze,PC,3.69%,43.32%,2.25%,5.40%
22,Sigma,Bronze,PC,3.56%,50.86%,1.94%,11.50%
23,Soldier: 76,Bronze,PC,3.41%,45.69%,1.15%,11.50%
24,Sombra,Bronze,PC,1.24%,46.48%,2.23%,12.23%
25,Symmetra,Bronze,PC,1.15%,57.79%,1.81%,9.25%
26,Torbjorn,Bronze,PC,1.72%,55.05%,2.95%,9.95%
27,Tracer,Bronze,PC,1.41%,44.39%,2.45%,6.46%
28,Widowmaker,Bronze,PC,1.01%,45.52%,0.46%,6.21%
29,Winston,Bronze,PC,2.39%,45.28%,1.15%,5.83%
30,Wrecking Ball,Bronze,PC,2.23%,48.26%,1.65%,2.79%
31,Zarya,Bronze,PC,7.30%,48.02%,1.80%,9.14%
32,Zenyatta,Bronze,PC,2.08%,48.81%,1.88%,10.05%
1,Ana,Silver,PC,9.85%,47.76%,1.99%,8.09%
2,Ashe,Silver,PC,4.67%,49.48%,1.55%,7.95%
3,Baptiste,Silver,PC,1.89%,44.83%,2.01%,9.11%
4,Bastion,Silver,PC,0.47%,54.74%,2.08%,17.17%
5,Brigitte,Silver,PC,0.88%,48.02%,1.10%,7.62%
6,D.Va,Silver,PC,3.13%,49.06%,1.81%,7.13%
7,Doomfist,Silver,PC,1.30%,51.27%,1.03%,7.34%
8,Echo,Silver,PC,0.93%,48.57%,1.85%,7.44%
9,Genji,Silver,PC,2.68%,48.51%,1.89%,9.97%
10,Hanzo,Silver,PC,1.86%,46.68%,1.85%,10.46%
11,Junkrat,Silver,PC,3.67%,50.25%,2.05%,11.73%
12,Lucio,Silver,PC,3.87%,53.47%,1.52%,12.13%
13,McCree,Silver,PC,1.80%,43.18%,1.24%,6.68%
14,Mei,Silver,PC,0.75%,46.62%,1.78%,8.34%
15,Mercy,Silver,PC,9.56%,50.37%,1.91%,1.92%
16,Moira,Silver,PC,7.03%,48.25%,1.96%,5.55%
17,Orisa,Silver,PC,0.78%,48.83%,1.90%,4.56%
18,Pharah,Silver,PC,1.89%,50.98%,1.58%,12.55%
19,Reaper,Silver,PC,3.17%,50.98%,1.79%,15.31%
20,Reinhardt,Silver,PC,8.41%,51.32%,2.01%,7.28%
21,Roadhog,Silver,PC,4.02%,45.23%,1.61%,5.90%
22,Sigma,Silver,PC,2.63%,50.51%,1.90%,11.59%
23,Soldier: 76,Silver,PC,2.97%,48.46%,1.46%,10.77%
24,Sombra,Silver,PC,0.97%,46.41%,1.76%,12.19%
25,Symmetra,Silver,PC,0.73%,56.68%,2.56%,8.93%
26,Torbjorn,Silver,PC,1.45%,57.41%,1.91%,9.08%
27,Tracer,Silver,PC,1.46%,47.78%,1.27%,7.06%
28,Widowmaker,Silver,PC,1.36%,48.49%,1.21%,5.68%
29,Winston,Silver,PC,2.52%,47.71%,1.36%,5.81%
30,Wrecking Ball,Silver,PC,1.90%,49.36%,1.29%,2.58%
31,Zarya,Silver,PC,8.91%,49.88%,1.85%,10.15%
32,Zenyatta,Silver,PC,2.49%,52.18%,1.89%,9.73%
1,Ana,Gold,PC,12.53%,49.44%,1.95%,8.88%
2,Ashe,Gold,PC,5.16%,51.31%,1.76%,8.73%
3,Baptiste,Gold,PC,1.62%,45.64%,2.35%,9.60%
4,Bastion,Gold,PC,0.24%,52.50%,2.09%,15.97%
5,Brigitte,Gold,PC,0.75%,49.86%,1.31%,7.49%
6,D.Va,Gold,PC,2.38%,50.26%,1.72%,7.29%
7,Doomfist,Gold,PC,1.60%,52.81%,1.38%,8.19%
8,Echo,Gold,PC,0.86%,49.94%,1.19%,7.72%
9,Genji,Gold,PC,3.77%,49.46%,1.65%,11.06%
10,Hanzo,Gold,PC,2.18%,48.81%,1.57%,11.50%
11,Junkrat,Gold,PC,2.32%,52.34%,2.30%,10.97%
12,Lucio,Gold,PC,3.55%,52.72%,1.66%,11.83%
13,McCree,Gold,PC,1.96%,43.42%,1.27%,7.03%
14,Mei,Gold,PC,0.54%,47.84%,1.83%,7.44%
15,Mercy,Gold,PC,9.09%,51.26%,2.24%,2.20%
16,Moira,Gold,PC,5.74%,48.30%,2.16%,6.10%
17,Orisa,Gold,PC,0.35%,49.20%,1.96%,6.00%
18,Pharah,Gold,PC,1.75%,53.32%,1.63%,13.29%
19,Reaper,Gold,PC,2.27%,50.79%,1.41%,15.18%
20,Reinhardt,Gold,PC,8.56%,52.94%,2.31%,7.51%
21,Roadhog,Gold,PC,4.31%,45.38%,1.58%,7.19%
22,Sigma,Gold,PC,2.06%,51.09%,2.13%,12.81%
23,Soldier: 76,Gold,PC,2.58%,50.51%,1.55%,10.47%
24,Sombra,Gold,PC,1.08%,48.08%,1.70%,12.83%
25,Symmetra,Gold,PC,0.53%,59.26%,2.03%,8.85%
26,Torbjorn,Gold,PC,1.15%,57.66%,2.15%,8.15%
27,Tracer,Gold,PC,1.76%,47.83%,0.81%,7.15%
28,Widowmaker,Gold,PC,1.59%,48.87%,1.22%,6.38%
29,Winston,Gold,PC,2.73%,49.21%,1.45%,6.32%
30,Wrecking Ball,Gold,PC,2.19%,51.31%,1.35%,2.79%
31,Zarya,Gold,PC,10.21%,51.64%,2.15%,11.65%
32,Zenyatta,Gold,PC,2.62%,53.66%,1.71%,8.94%
1,Ana,Platinum,PC,13.77%,50.96%,1.92%,9.74%
2,Ashe,Platinum,PC,5.69%,52.96%,1.88%,9.25%
3,Baptiste,Platinum,PC,1.22%,46.86%,1.91%,10.07%
4,Bastion,Platinum,PC,0.20%,56.25%,1.33%,13.82%
5,Brigitte,Platinum,PC,0.59%,52.10%,1.53%,6.17%
6,D.Va,Platinum,PC,1.98%,51.63%,1.51%,7.30%
7,Doomfist,Platinum,PC,1.66%,53.35%,1.56%,7.81%
8,Echo,Platinum,PC,0.83%,53.19%,1.75%,8.54%
9,Genji,Platinum,PC,4.63%,50.74%,1.54%,12.19%
10,Hanzo,Platinum,PC,2.42%,48.90%,1.53%,11.98%
11,Junkrat,Platinum,PC,1.25%,54.06%,2.37%,10.42%
12,Lucio,Platinum,PC,3.45%,54.47%,1.45%,11.80%
13,McCree,Platinum,PC,2.03%,43.42%,1.28%,7.68%
14,Mei,Platinum,PC,0.34%,48.85%,2.05%,7.52%
15,Mercy,Platinum,PC,8.43%,51.77%,1.94%,2.48%
16,Moira,Platinum,PC,3.99%,47.83%,1.93%,6.17%
17,Orisa,Platinum,PC,0.14%,48.89%,0.49%,6.37%
18,Pharah,Platinum,PC,1.28%,53.74%,1.35%,14.66%
19,Reaper,Platinum,PC,1.54%,55.68%,1.44%,14.73%
20,Reinhardt,Platinum,PC,8.56%,53.27%,2.38%,7.58%
21,Roadhog,Platinum,PC,4.52%,46.43%,1.28%,7.98%
22,Sigma,Platinum,PC,1.69%,51.70%,1.50%,13.36%
23,Soldier: 76,Platinum,PC,2.18%,52.93%,1.61%,10.78%
24,Sombra,Platinum,PC,1.05%,49.59%,1.92%,13.48%
25,Symmetra,Platinum,PC,0.35%,58.16%,2.54%,7.79%
26,Torbjorn,Platinum,PC,1.02%,57.49%,2.15%,7.49%
27,Tracer,Platinum,PC,2.49%,50.57%,0.93%,7.31%
28,Widowmaker,Platinum,PC,2.42%,49.18%,1.42%,7.29%
29,Winston,Platinum,PC,3.53%,51.38%,1.53%,6.58%
30,Wrecking Ball,Platinum,PC,2.64%,51.11%,1.48%,2.95%
31,Zarya,Platinum,PC,11.27%,53.42%,2.00%,12.91%
32,Zenyatta,Platinum,PC,2.83%,55.23%,1.55%,8.01%
1,Ana,Diamond,PC,14.86%,51.56%,1.86%,9.45%
2,Ashe,Diamond,PC,5.71%,52.27%,1.65%,9.92%
3,Baptiste,Diamond,PC,0.76%,48.15%,1.77%,10.04%
4,Bastion,Diamond,PC,0.14%,61.96%,2.65%,15.17%
5,Brigitte,Diamond,PC,0.47%,48.02%,1.41%,5.04%
6,D.Va,Diamond,PC,2.39%,52.57%,1.80%,6.41%
7,Doomfist,Diamond,PC,1.62%,57.22%,1.23%,7.38%
8,Echo,Diamond,PC,0.64%,52.34%,1.39%,8.35%
9,Genji,Diamond,PC,4.88%,52.27%,1.70%,12.23%
10,Hanzo,Diamond,PC,2.41%,51.14%,1.81%,12.02%
11,Junkrat,Diamond,PC,0.62%,55.90%,2.40%,9.22%
12,Lucio,Diamond,PC,3.46%,55.06%,1.33%,11.85%
13,McCree,Diamond,PC,1.68%,44.63%,1.23%,7.41%
14,Mei,Diamond,PC,0.29%,51.18%,1.80%,6.72%
15,Mercy,Diamond,PC,7.98%,52.69%,1.92%,2.55%
16,Moira,Diamond,PC,2.61%,46.78%,1.62%,5.68%
17,Orisa,Diamond,PC,0.08%,49.51%,0.00%,9.89%
18,Pharah,Diamond,PC,1.04%,56.37%,1.50%,14.46%
19,Reaper,Diamond,PC,1.07%,53.78%,1.11%,12.93%
20,Reinhardt,Diamond,PC,8.14%,54.03%,1.99%,7.43%
21,Roadhog,Diamond,PC,4.60%,47.91%,1.29%,8.67%
22,Sigma,Diamond,PC,1.08%,51.64%,1.17%,12.65%
23,Soldier: 76,Diamond,PC,1.79%,52.97%,1.74%,11.21%
24,Sombra,Diamond,PC,1.06%,52.93%,1.32%,12.69%
25,Symmetra,Diamond,PC,0.28%,55.68%,1.86%,7.17%
26,Torbjorn,Diamond,PC,0.99%,57.00%,1.28%,6.34%
27,Tracer,Diamond,PC,3.21%,51.64%,1.34%,7.58%
28,Widowmaker,Diamond,PC,3.38%,50.68%,1.56%,7.53%
29,Winston,Diamond,PC,4.95%,53.74%,1.51%,6.75%
30,Wrecking Ball,Diamond,PC,3.29%,53.22%,1.33%,3.14%
31,Zarya,Diamond,PC,11.43%,54.08%,2.06%,13.59%
32,Zenyatta,Diamond,PC,3.10%,55.73%,1.41%,7.08%
1,Ana,Master,PC,14.59%,51.87%,1.88%,8.87%
2,Ashe,Master,PC,4.76%,51.14%,1.74%,9.53%
3,Baptiste,Master,PC,0.30%,39.61%,3.75%,10.04%
4,Bastion,Master,PC,0.17%,49.46%,1.06%,11.32%
5,Brigitte,Master,PC,0.63%,50.45%,1.76%,4.45%
6,D.Va,Master,PC,3.76%,51.82%,1.47%,5.20%
7,Doomfist,Master,PC,1.61%,52.97%,1.60%,6.59%
8,Echo,Master,PC,0.60%,55.97%,2.75%,7.95%
9,Genji,Master,PC,3.68%,52.63%,1.90%,12.11%
10,Hanzo,Master,PC,2.43%,49.26%,2.05%,11.08%
11,Junkrat,Master,PC,0.47%,48.39%,3.50%,8.59%
12,Lucio,Master,PC,4.57%,52.38%,1.37%,11.43%
13,McCree,Master,PC,1.74%,50.97%,1.70%,7.63%
14,Mei,Master,PC,0.14%,48.05%,1.28%,4.67%
15,Mercy,Master,PC,8.34%,51.71%,1.70%,2.19%
16,Moira,Master,PC,2.16%,48.00%,1.54%,5.55%
17,Orisa,Master,PC,0.08%,57.78%,0.00%,4.86%
18,Pharah,Master,PC,0.88%,56.05%,0.84%,13.23%
19,Reaper,Master,PC,1.09%,52.33%,1.86%,12.35%
20,Reinhardt,Master,PC,6.57%,54.52%,1.88%,6.51%
21,Roadhog,Master,PC,3.86%,47.86%,1.67%,7.86%
22,Sigma,Master,PC,0.59%,45.63%,0.62%,10.06%
23,Soldier: 76,Master,PC,1.43%,53.52%,1.29%,12.12%
24,Sombra,Master,PC,1.31%,48.79%,1.54%,12.04%
25,Symmetra,Master,PC,0.23%,53.97%,0.00%,6.39%
26,Torbjorn,Master,PC,1.09%,53.40%,3.05%,6.04%
27,Tracer,Master,PC,4.51%,51.00%,1.39%,6.97%
28,Widowmaker,Master,PC,4.13%,50.89%,1.48%,7.01%
29,Winston,Master,PC,7.46%,52.63%,1.63%,5.73%
30,Wrecking Ball,Master,PC,4.15%,52.03%,1.69%,3.09%
31,Zarya,Master,PC,9.99%,53.18%,1.66%,12.49%
32,Zenyatta,Master,PC,2.66%,56.06%,1.46%,5.51%
1,Ana,GM,PC,14.04%,54.27%,1.82%,8.88%
2,Ashe,GM,PC,4.32%,55.01%,1.91%,11.08%
3,Baptiste,GM,PC,0.17%,54.35%,0.00%,11.55%
4,Bastion,GM,PC,0.09%,63.64%,4.35%,11.23%
5,Brigitte,GM,PC,1.06%,55.19%,3.91%,4.83%
6,D.Va,GM,PC,4.90%,54.02%,1.76%,5.60%
7,Doomfist,GM,PC,1.47%,56.99%,1.53%,7.30%
8,Echo,GM,PC,0.60%,53.21%,1.89%,10.83%
9,Genji,GM,PC,1.49%,52.67%,0.76%,12.00%
10,Hanzo,GM,PC,1.43%,51.08%,2.11%,10.41%
11,Junkrat,GM,PC,0.58%,53.64%,1.31%,6.64%
12,Lucio,GM,PC,7.19%,57.33%,1.62%,14.11%
13,McCree,GM,PC,0.45%,52.94%,1.65%,7.63%
14,Mei,GM,PC,0.23%,59.32%,1.67%,5.84%
15,Mercy,GM,PC,8.13%,52.97%,1.76%,2.16%
16,Moira,GM,PC,4.15%,53.23%,1.72%,7.56%
17,Orisa,GM,PC,0.30%,46.91%,-1.25%,4.54%
18,Pharah,GM,PC,1.43%,58.31%,0.26%,17.20%
19,Reaper,GM,PC,1.66%,55.43%,1.81%,14.04%
20,Reinhardt,GM,PC,4.08%,55.76%,1.66%,6.75%
21,Roadhog,GM,PC,3.68%,50.26%,1.63%,9.58%
22,Sigma,GM,PC,0.40%,49.06%,0.00%,11.25%
23,Soldier: 76,GM,PC,0.89%,49.57%,2.11%,9.42%
24,Sombra,GM,PC,2.07%,56.78%,0.73%,12.88%
25,Symmetra,GM,PC,0.62%,54.60%,1.21%,2.76%
26,Torbjorn,GM,PC,1.06%,56.83%,1.42%,5.52%
27,Tracer,GM,PC,4.84%,53.71%,2.41%,8.10%
28,Widowmaker,GM,PC,4.05%,53.11%,1.48%,7.04%
29,Winston,GM,PC,9.04%,57.08%,1.95%,6.61%
30,Wrecking Ball,GM,PC,5.20%,57.67%,1.52%,3.00%
31,Zarya,GM,PC,7.39%,55.38%,1.99%,13.01%
32,Zenyatta,GM,PC,2.99%,59.03%,1.13%,5.85%
